일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-22,826000,833000,797000,805000,113153,-0.24783147459727387,-9064,50,4997,4017,0,4806.0,3.5,102907.0,0.28999999165534973
2025-12-19,807000,822000,795000,807000,78227,2.151898734177215,-4039,71,-3295,7263,0,2004.0,2.200000047683716,102907.0,0.28999999165534973
2025-12-18,796000,812000,788000,790000,95019,-3.8929440389294405,-6576,1008,7487,-1919,0,5189.0,4.579999923706055,102907.0,0.28999999165534973
2025-12-17,834000,837000,818000,822000,83310,-0.36363636363636365,-2899,-689,2815,773,0,4963.0,5.150000095367432,101360.0,0.2800000011920929
2025-12-16,827000,846000,819000,825000,109808,-0.6024096385542169,14588,40,71,-14699,0,4436.0,3.450000047683716,102577.0,0.2800000011920929
2025-12-15,839000,851000,824000,830000,123407,-4.157043879907621,-2967,636,16860,-14529,0,14007.0,9.5600004196167,102918.0,0.28999999165534973
2025-12-12,855000,877000,849000,866000,134492,2.3640661938534278,-4298,403,-32286,36181,0,7332.0,4.5,98601.0,0.27000001072883606
2025-12-11,868000,882000,846000,846000,165857,-0.3533568904593639,-36043,235,-4993,40801,0,7542.0,3.619999885559082,102033.0,0.2800000011920929
2025-12-10,857000,872000,841000,849000,80526,0.1179245283018868,-7151,-334,-12141,19626,0,2276.0,2.220000028610229,96867.0,0.270000010728836
2025-12-09,834000,855000,826000,848000,101223,0.7125890736342043,2354,479,-18066,15233,0,4405.0,3.5,96627.0,0.270000010728836
2025-12-08,830000,846000,822000,842000,115992,1.201923076923077,11301,240,-11383,-158,0,5260.0,3.650000095367432,97653.0,0.270000010728836
2025-12-05,804000,836000,796000,832000,133262,4.260651629072681,13453,-71,-19957,6575,0,9560.0,5.420000076293945,97158.0,0.270000010728836
2025-12-04,819000,829000,787000,798000,121443,-2.682926829268293,-14046,-541,28673,-14086,0,9808.0,6.389999866485596,94871.0,0.2599999904632568
2025-12-03,787000,823000,780000,820000,181990,4.99359795134443,4144,344,-40561,36073,0,11881.0,5.440000057220459,96139.0,0.270000010728836
2025-12-02,742000,785000,742000,781000,153005,4.691689008042896,-5808,-347,-37568,43723,0,12108.0,6.329999923706055,95998.0,0.270000010728836
2025-12-01,787000,787000,736000,746000,173891,-3.741935483870968,-12319,-1770,1514,12575,0,3027.0,1.350000023841858,95098.0,0.2599999904632568
2025-11-28,802000,802000,764000,775000,120269,-2.882205513784461,3352,98,20184,-23634,0,6049.0,3.75,95760.0,0.270000010728836
2025-11-27,810000,825000,797000,798000,72971,0.1254705144291091,6789,947,14650,-22386,0,4572.0,4.440000057220459,94439.0,0.2599999904632568
2025-11-26,812000,813000,770000,797000,102748,2.1794871794871797,14411,-214,9403,-23600,0,4418.0,3.440000057220459,95009.0,0.2599999904632568
2025-11-25,774000,798000,771000,780000,148760,4.0,-3506,590,-17905,20821,0,16583.0,8.800000190734863,94859.0,0.2599999904632568
2025-11-24,761000,766000,744000,750000,246868,-0.133155792276964,9710,-944,-5015,-3751,0,2069.0,0.7699999809265137,94122.0,0.2599999904632568
2025-11-21,773000,790000,751000,751000,221598,-7.85276073619632,12812,-307,21538,-34043,0,11289.0,4.329999923706055,96733.0,0.270000010728836
2025-11-20,837000,838000,810000,815000,142972,4.086845466155811,-4359,73,-13170,17456,0,3651.0,2.0,104238.0,0.2899999916553497
2025-11-19,817000,817000,768000,783000,299531,-3.571428571428571,16770,-571,11354,-27553,0,4390.0,1.2300000190734863,103961.0,0.2899999916553497
2025-11-18,819000,853000,803500,812000,137398,-3.333333333333333,-14585,-1049,-6417,22051,0,9568.0,5.289999961853027,107429.0,0.3000000119209289
