일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-27,54700,55200,53000,53500,196074,-2.5500910746812386,-53555.0,87.0,116231.0,-62763.0,0.0,17516.0,7.130000114440918,6046.0,0.05000000074505806
2026-01-26,55900,56100,54700,54900,114992,-1.9642857142857142,6589.0,-928.0,4057.0,-9718.0,0.0,10347.0,6.269999980926514,6046.0,0.05000000074505806
2026-01-23,56400,59600,54900,56000,238134,2.376599634369287,-2438.0,-139.0,15049.0,-12472.0,0.0,16682.0,4.360000133514404,6046.0,0.05000000074505806
2026-01-22,55200,55800,53400,54700,168900,0.9225092250922509,-12915.0,-3209.0,-35479.0,51603.0,0.0,4058.0,1.7999999523162842,6046.0,0.05000000074505806
2026-01-21,54800,55000,52400,54200,182840,-3.558718861209965,-11426.0,-7074.0,63990.0,-45490.0,0.0,12887.0,5.010000228881836,10379.0,0.09000000357627869
2026-01-20,55600,57100,53700,56200,85484,0.7168458781362007,-4114.0,-5401.0,-10582.0,20097.0,0.0,5585.0,4.380000114440918,2846.0,0.029999999329447746
2026-01-19,55800,56300,54700,55800,108979,-1.9332161687170473,2960.0,-1792.0,-12691.0,11523.0,0.0,9820.0,6.130000114440918,5230.0,0.05000000074505806
2026-01-16,59000,59100,56500,56900,105053,-1.896551724137931,-8953.0,-1160.0,22615.0,-12502.0,0.0,7381.0,4.679999828338623,3488.0,0.0299999993294477
2026-01-15,58100,58500,56700,58000,85683,0.5199306759098787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,57600,58500,56800,57700,116621,-0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,55300,58400,53400,58000,214842,7.4074074074074066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,54000,55700,53600,54000,103927,0.1855287569573284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,53200,54000,52400,53900,86952,3.45489443378119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,54900,55000,52100,52100,229962,-7.130124777183601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,58500,58500,55900,56100,85621,-3.2758620689655173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,58200,58700,56300,58000,69869,0.1727115716753022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,56300,58900,56300,57900,116504,4.701627486437613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,54900,57400,54400,55300,118911,1.0968921389396709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,56400,56400,54700,54700,52239,-1.971326164874552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,56100,56400,55300,55800,68472,-1.5873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,59600,59600,56400,56700,98018,-4.060913705583756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,60900,61000,59100,59100,70647,-3.273322422258593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,63000,64500,60900,61100,151605,-3.475513428120064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,63400,64800,61000,63300,161616,1.6051364365971106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-19,59200,64000,59000,62300,417937,7.413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,56900,59700,55900,58000,130696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,56500,58200,55300,58000,142404,4.129263913824058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,59000,59400,55200,55700,153394,-4.948805460750854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,56300,60700,55600,58600,276114,1.9130434782608687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-12,54700,57900,54100,57500,131392,6.088560885608856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-11,54700,55600,53700,54200,53320,-0.1841620626151013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-10,57000,57100,54200,54300,80466,-3.380782918149466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-09,55800,56900,54800,56200,88551,0.7168458781362007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-08,55700,56300,54600,55800,73823,0.9041591320072332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05,53500,55500,53000,55300,55198,3.364485981308411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-04,54300,54500,53400,53500,38315,-1.2915129151291511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,54500,55200,53700,54200,47866,0.7434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,52700,53900,52100,53800,45566,1.3182674199623352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,54800,54800,52400,53100,79877,-2.568807339449541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28,54700,55300,53500,54500,89298,0.5535055350553505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-27,53000,55300,52800,54200,121831,4.633204633204633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,51600,52100,51000,51800,62045,1.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,51200,52300,50000,51200,68553,1.99203187250996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,52300,52300,49800,50200,82041,-2.524271844660194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21,52000,52600,50500,51500,101257,-5.850091407678245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20,55100,55200,53000,54700,93653,4.3893129770992365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19,53500,53700,51300,52400,77905,-1.6885553470919326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-18,55500,55700,53000,53300,73141,-4.480286738351254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-17,56600,56600,54500,55800,84439,2.010968921389397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,56700,57000,54700,54700,130296,-7.601351351351352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-13,60200,60200,58100,59200,102500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,60000,60800,58500,59200,115145,-0.1686340640809443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
