일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-10,649000,669000,633000,637000,169854,-1.393188854489164,-17873.0,-30.0,9224.0,8679.0,0.0,24481.0,11.109999656677246,15113.0,0.05000000074505806
2026-02-09,631000,664000,621000,646000,253376,8.571428571428571,41101.0,-302.0,-50285.0,9486.0,0.0,14048.0,4.210000038146973,15113.0,0.05000000074505806
2026-02-06,593000,598000,558000,595000,220679,-3.877221324717286,13127.0,1269.0,47499.0,-61895.0,0.0,8056.0,2.7799999713897705,15113.0,0.05000000074505806
2026-02-05,621000,638000,595000,619000,232299,-3.1298904538341157,-13620.0,4522.0,50669.0,-41571.0,0.0,15337.0,5.210000038146973,13853.0,0.05000000074505806
2026-02-04,611000,658000,605000,639000,304502,4.411764705882353,5480.0,-1318.0,-21224.0,17062.0,0.0,21157.0,5.53000020980835,9528.0,0.029999999329447746
2026-02-03,546000,615000,544000,612000,444911,16.34980988593156,41347.0,-2271.0,-168793.0,129717.0,0.0,11510.0,1.850000023841858,17915.0,0.05999999865889549
2026-02-02,550000,578000,521000,526000,247333,-7.06713780918728,-20686.0,1275.0,23933.0,-4522.0,0.0,10281.0,3.140000104904175,25063.0,0.07999999821186066
2026-01-30,555000,578000,546000,566000,214902,1.615798922800718,4602.0,965.0,-39499.0,33932.0,0.0,8844.0,2.970000028610229,26188.0,0.0900000035762786
2026-01-29,569000,574000,541000,557000,236884,-2.6223776223776225,-20111.0,422.0,29209.0,-9520.0,0.0,19541.0,6.010000228881836,26188.0,0.0900000035762786
2026-01-28,560000,582000,537000,572000,482333,6.517690875232775,12169.0,-638.0,-51807.0,40276.0,0.0,29843.0,4.380000114440918,25740.0,0.0900000035762786
2026-01-27,503000,557000,485500,537000,651215,7.18562874251497,71766.0,-3847.0,-183191.0,115272.0,0.0,18034.0,1.899999976158142,32313.0,0.1099999994039535
2026-01-26,506000,511000,492000,501000,186993,-1.5717092337917484,-22297.0,1088.0,41583.0,-20374.0,0.0,6956.0,2.789999961853028,33255.0,0.1099999994039535
2026-01-23,519000,524000,502000,509000,167100,-1.5473887814313347,-10566.0,460.0,14127.0,-4021.0,0.0,17975.0,8.1899995803833,41647.0,0.1400000005960464
2026-01-22,522000,538000,513000,517000,211156,2.1739130434782608,16951.0,-978.0,-64414.0,48441.0,0.0,8726.0,3.0799999237060547,40257.0,0.1299999952316284
2026-01-21,507000,516000,495500,506000,215028,-3.619047619047619,-20565.0,2453.0,52526.0,-34414.0,0.0,12697.0,4.420000076293945,68600.0,0.2300000041723251
2026-01-20,528000,532000,506000,525000,230567,-1.50093808630394,-17918.0,742.0,1577.0,15599.0,0.0,32608.0,10.3100004196167,66150.0,0.2199999988079071
2026-01-19,533000,545000,527000,533000,159742,0.0,-5046.0,-621.0,3679.0,1988.0,0.0,14247.0,6.429999828338623,58261.0,0.1899999976158142
2026-01-16,536000,539000,518000,533000,184329,1.3307984790874523,8135.0,734.0,10707.0,-19576.0,0.0,20412.0,7.829999923706055,60921.0,0.2000000029802322
2026-01-15,536000,552000,517000,526000,296574,-2.411873840445269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,502000,554000,497500,539000,605484,8.559919436052366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,507000,508000,482500,496500,190195,0.1008064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,491000,513000,487000,496000,287987,4.201680672268908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,483500,483500,473500,476000,112362,-1.3471502590673576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,475500,486500,472000,482500,185631,1.4721345951629865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,488000,491500,472000,475500,180652,-3.353658536585366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,506000,507000,468000,492000,300762,-3.149606299212598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,491500,510000,486000,508000,182362,3.147208121827412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,465500,499000,451500,492500,201995,7.065217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,471000,476000,460000,460000,95410,-3.0558482613277134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,450500,475000,450000,474500,130093,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,464500,465000,451000,455000,93223,-2.045209903121636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,467500,470000,460000,464500,62373,0.1077586206896551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,479000,479000,462000,464000,114607,-2.3157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,482500,490000,470000,475000,92306,0.8492569002123143,2986.0,1336.0,2291.0,-6613.0,0.0,4237.0,3.440000057220459,84323.0,0.2800000011920929
2025-12-19,471500,474000,460000,471000,124881,2.058504875406284,10075.0,40.0,-510.0,-9605.0,0.0,4895.0,3.0199999809265137,83484.0,0.2800000011920929
2025-12-18,454000,469000,452500,461500,132319,-2.637130801687764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,487000,487500,471500,474000,127776,-1.0438413361169103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,484000,504000,474500,479000,241025,-0.8281573498964804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,486000,487500,474000,483000,187000,-4.545454545454546,-35100.0,-1146.0,63505.0,-27259.0,0.0,17743.0,7.260000228881836,121982.0,0.4099999964237213
2025-12-12,504000,512000,497500,506000,114733,1.8108651911468807,-4462.0,-1156.0,-33561.0,39179.0,0.0,3766.0,2.4100000858306885,112815.0,0.3799999952316284
2025-12-11,511000,522000,497000,497000,181252,-0.7984031936127743,3069.0,20.0,-20447.0,17358.0,0.0,7977.0,3.0899999141693115,141527.0,0.4699999988079071
2025-12-10,496500,504000,489000,501000,107108,1.829268292682927,19240.0,-175.0,-29929.0,10864.0,0.0,7232.0,4.869999885559082,160956.0,0.5400000214576721
2025-12-09,503000,504000,488500,492000,155716,-5.019305019305019,-6664.0,882.0,57614.0,-51832.0,0.0,11025.0,4.920000076293945,173812.0,0.5799999833106995
2025-12-08,508000,530000,505000,518000,163652,0.5825242718446602,16979.0,710.0,-27261.0,9572.0,0.0,14059.0,5.860000133514404,134588.0,0.449999988079071
2025-12-05,495000,516000,492500,515000,251620,5.858170606372045,16242.0,172.0,-56621.0,40207.0,0.0,19845.0,4.869999885559082,140562.0,0.4699999988079071
2025-12-04,479000,499000,478000,486500,172033,1.671891327063741,7127.0,35.0,-26919.0,19757.0,0.0,10017.0,4.010000228881836,127447.0,0.4199999868869781
2025-12-03,480000,483000,464500,478500,129518,1.2698412698412698,1853.0,-533.0,9696.0,-11016.0,0.0,20946.0,10.220000267028809,119274.0,0.4000000059604645
2025-12-02,446500,473000,444000,472500,184764,6.659142212189615,11632.0,-1136.0,-82407.0,71911.0,0.0,12137.0,4.28000020980835,102442.0,0.3400000035762787
2025-12-01,470000,471500,437500,443000,157852,-3.695652173913044,-27887.0,-595.0,22127.0,6355.0,0.0,15664.0,6.769999980926514,127023.0,0.4199999868869781
2025-11-28,469500,470500,455000,460000,115189,-1.4989293361884368,7637.0,-308.0,7777.0,-15106.0,0.0,16317.0,9.630000114440918,127043.0,0.4199999868869781
2025-11-27,457000,479500,457000,467000,197775,4.124860646599777,28456.0,926.0,-53542.0,24160.0,0.0,17058.0,5.840000152587891,100409.0,0.3300000131130218
2025-11-26,448500,458500,428000,448500,181758,1.9318181818181817,16725.0,1962.0,-13755.0,-4932.0,0.0,17914.0,6.380000114440918,107971.0,0.3600000143051147
2025-11-25,454000,458000,437500,440000,170664,0.9174311926605504,4080.0,205.0,-43138.0,38853.0,0.0,14523.0,5.789999961853027,99456.0,0.3300000131130218
2025-11-24,452000,452500,431500,436000,193530,-1.1337868480725624,4223.0,-681.0,-6760.0,3218.0,0.0,17549.0,6.5,110091.0,0.3700000047683716
2025-11-21,472000,472500,438500,441000,468238,-12.845849802371545,-85449.0,309.0,265589.0,-180449.0,0.0,33373.0,5.130000114440918,114012.0,0.3799999952316284
2025-11-20,510000,539000,497000,506000,397196,6.526315789473684,10846.0,1385.0,-62710.0,50479.0,0.0,21685.0,3.5199999809265137,75014.0,0.25
2025-11-19,461500,480500,445000,475000,253977,3.485838779956427,617.0,814.0,-38907.0,37476.0,0.0,28912.0,8.149999618530273,62797.0,0.209999993443489
