일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-10-27,148200,152500,142400,146300,971890,1.10573600552868,-33611,-13067,26872,19806,0,14221.0,1.4600000381469727,163991.0,0.5400000214576721
2025-10-24,139000,150800,138900,144700,1984277,5.929721815519766,3084,-848,-156764,154528,0,30748.0,1.5499999523162842,163991.0,0.5400000214576721
2025-10-23,127000,138500,126200,136600,1745176,7.559055118110236,87717,7243,-162540,67580,0,32353.0,1.850000023841858,163991.0,0.5400000214576721
2025-10-22,128900,130500,124000,127000,622503,-1.1673151750972763,-28331,-1977,117891,-87583,0,55232.0,8.869999885559082,262445.0,0.8600000143051147
2025-10-21,136400,139200,128100,128500,964164,-5.791788856304985,-36701,-4414,64516,-23401,0,35861.0,3.7200000286102295,222859.0,0.7300000190734863
2025-10-20,133800,139400,131500,136400,1055695,3.3333333333333335,51633,-2249,63223,-112607,0,30746.0,2.9100000858306885,211777.0,0.699999988079071
2025-10-17,135000,139200,130900,132000,1094287,-4.693140794223827,10812,-3695,61116,-68233,0,22962.0,2.0999999046325684,223508.0,0.7300000190734863
2025-10-16,121000,140900,118600,138500,2667208,14.368290668868704,70539,2920,-365312,291853,0,29483.0,1.1100000143051147,219786.0,0.7200000286102295
2025-10-15,111000,121500,109100,121100,1132434,11.10091743119266,17191,12836,-123835,93808,0,98137.0,8.670000076293945,303810.0,1.0
2025-10-14,109200,115300,107650,109000,839621,1.6791044776119404,8710,3784,33447,-45941,0,67316.0,8.020000457763672,299215.0,0.9800000190734864
2025-10-13,109000,110400,105000,107200,462398,-3.856502242152467,1208,3231,158517,-162956,0,29733.0,6.429999828338623,259581.0,0.8500000238418579
2025-10-10,108000,112800,105600,111500,550660,4.891815616180621,19293,1305,37966,-58564,0,29517.0,5.360000133514404,248439.0,0.0
2025-10-02,107800,109800,105500,106300,506331,-1.20817843866171,-38447,-654,44871,-5770,0,94818.0,18.73,243779.0,0.0
2025-10-01,110900,111700,107000,107600,450400,-2.2706630336058127,-29279,-3005,71577,-39293,0,53701.0,11.92,151825.0,0.0
2025-09-30,109700,111000,107600,110100,286004,0.1819836214740673,-4951,3514,19232,-17795,0,39483.0,13.81,89591.0,0.0
2025-09-29,113600,114300,108100,109900,468578,-2.9151943462897525,-21831,-464,85182,-62887,0,79552.0,16.98,78229.0,0.0
2025-09-26,115000,116000,112100,113200,312377,-1.7361111111111112,7121,672,-64662,56869,0,23602.0,7.56,41445.0,0.0
2025-09-25,115000,117000,114000,115200,259887,0.2610966057441253,2852,-161,-45098,42407,0,8941.0,3.44,38817.0,0.0
2025-09-24,123600,123900,114900,114900,540016,-5.973813420621931,-17817,3055,72448,-57686,0,11472.0,2.12,39958.0,0.0
2025-09-23,123000,129600,120900,122200,1134803,0.0,57353,688,-51517,-6524,0,29205.0,2.57,23729.0,0.0
