일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-06,107600,117900,101500,113300,261995,5.199628597957289,73534.0,-13776.0,-45268.0,-14490.0,0.0,7920.0,2.390000104904175,0.0,0.0
2026-02-05,109000,112000,106300,107700,119239,-6.833910034602077,22984.0,-123.0,6949.0,-29810.0,0.0,5366.0,3.4700000286102295,0.0,0.0
2026-02-04,114500,118000,112000,115600,79941,1.4925373134328357,7268.0,960.0,2601.0,-10829.0,0.0,3697.0,3.4100000858306885,0.0,0.0
2026-02-03,103400,116700,100600,113900,282733,15.987780040733199,113350.0,607.0,-101735.0,-12222.0,0.0,6406.0,1.659999966621399,0.0,0.0
2026-02-02,92300,108300,90900,98200,262611,3.1512605042016806,57968.0,-8047.0,-67827.0,17906.0,0.0,3977.0,1.1200000047683716,0.0,0.0
2026-01-30,98500,99900,94400,95200,118910,-4.8,-22249.0,1036.0,18178.0,3035.0,0.0,2403.0,1.5399999618530273,0.0,0.0
2026-01-29,101000,102200,94500,100000,123295,0.9081735620585267,-7344.0,532.0,-16764.0,23576.0,0.0,1915.0,1.1699999570846558,0.0,0.0
2026-01-28,94600,101600,94400,99100,259322,10.602678571428571,19509.0,-326.0,-63560.0,44377.0,0.0,17497.0,4.71999979019165,0.0,0.0
2026-01-27,84700,89900,84300,89600,113915,5.535924617196701,29959.0,-4.0,-32446.0,2491.0,0.0,10692.0,6.920000076293945,10000.0,0.15000000596046448
2026-01-26,85600,85900,82600,84900,184738,-0.9334889148191364,-16001.0,-7758.0,-28797.0,52556.0,0.0,942.0,0.4300000071525574,10000.0,0.1500000059604644
2026-01-23,90000,90100,84500,85700,120808,-5.720572057205721,-12122.0,318.0,40015.0,-28211.0,0.0,6136.0,3.700000047683716,29771.0,0.4399999976158142
2026-01-22,85500,91800,83300,90900,120744,5.574912891986063,19812.0,3990.0,-20897.0,-2905.0,0.0,8654.0,5.079999923706055,19056.0,0.2800000011920929
2026-01-21,87000,88600,82500,86100,120729,-1.6,4000.0,9900.0,10849.0,-24749.0,0.0,7703.0,4.639999866485596,26515.0,0.3899999856948852
2026-01-20,85500,88800,82000,87500,86596,2.219626168224299,7547.0,-3018.0,-8224.0,3695.0,0.0,3925.0,2.900000095367432,20787.0,0.3100000023841858
2026-01-19,87800,87800,85000,85600,69086,-0.5807200929152149,-3396.0,-2339.0,1190.0,4545.0,0.0,4158.0,4.510000228881836,24507.0,0.3600000143051147
2026-01-16,88800,89500,85000,86100,95174,-1.3745704467353952,-4273.0,-9677.0,5768.0,8182.0,0.0,4789.0,3.759999990463257,21301.0,0.3199999928474426
2026-01-15,89800,90400,86300,87300,75135,-2.130044843049327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,91200,94400,87400,89200,179148,-2.5136612021857925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,87700,92500,85100,91500,160151,5.658198614318707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,86000,87700,84500,86600,130074,6.519065190651907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,87000,88800,80400,81300,169920,-2.283653846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,90300,92200,81300,83200,157048,-2.9171528588098017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,87400,88200,84000,85700,101469,-2.613636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,86700,90850,83100,88000,86497,-0.7891770011273956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,81500,89300,80400,88700,276161,12.420785804816225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,72400,79800,72400,78900,212992,9.735744089012517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,66200,73200,65700,71900,170650,8.610271903323262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,68900,69200,64000,66200,180947,-3.498542274052478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,68697,69960,66462,68600,88341,-0.1411997612705067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
